city,timestamp,temperature,season
New York,2010-01-01,-5.812466483428995,winter
New York,2010-01-02,6.2673730856570184,winter
New York,2010-01-03,4.86848011154354,winter
New York,2010-01-04,-2.5257497344931816,winter
New York,2010-01-05,2.939261843533338,winter
New York,2010-01-06,2.3481808938193662,winter
New York,2010-01-07,5.595916213464944,winter
New York,2010-01-08,-2.7163113072900154,winter
New York,2010-01-09,-6.788986214222313,winter
New York,2010-01-10,-5.106884092175832,winter
New York,2010-01-11,2.3206641200922724,winter
New York,2010-01-12,7.856859526009988,winter
New York,2010-01-13,-3.3070931196504034,winter
New York,2010-01-14,-3.220436156129133,winter
New York,2010-01-15,0.07038989047159971,winter
New York,2010-01-16,-1.8521469087280935,winter
New York,2010-01-17,-1.726232186353687,winter
New York,2010-01-18,-6.871562463192459,winter
New York,2010-01-19,1.0441545060906063,winter
New York,2010-01-20,-0.37137086604748687,winter
New York,2010-01-21,4.494209417888648,winter
New York,2010-01-22,0.7113250086843447,winter
New York,2010-01-23,2.650754183687706,winter
New York,2010-01-24,-6.2444898019450825,winter
New York,2010-01-25,-5.713635519159405,winter
New York,2010-01-26,6.801351965455446,winter
New York,2010-01-27,-9.568032669689847,winter
New York,2010-01-28,7.317792186721367,winter
New York,2010-01-29,6.582871289073157,winter
New York,2010-01-30,1.466286037018295,winter
New York,2010-01-31,0.5225605592664118,winter
New York,2010-02-01,7.35188469510251,winter
New York,2010-02-02,7.5291236219502835,winter
New York,2010-02-03,-3.402613481293791,winter
New York,2010-02-04,2.306468371408842,winter
New York,2010-02-05,4.855980539112573,winter
New York,2010-02-06,-5.795066921596138,winter
New York,2010-02-07,1.8057110664303004,winter
New York,2010-02-08,-3.027715636786195,winter
New York,2010-02-09,1.421122232141851,winter
New York,2010-02-10,4.582338658761759,winter
New York,2010-02-11,-0.6644899165562619,winter
New York,2010-02-12,-0.26261158822799885,winter
New York,2010-02-13,-2.8166459121604954,winter
New York,2010-02-14,7.598851321585457,winter
New York,2010-02-15,2.7331214110060915,winter
New York,2010-02-16,-5.561839727840261,winter
New York,2010-02-17,-0.07163272450509132,winter
New York,2010-02-18,-1.4273590393718492,winter
New York,2010-02-19,-0.09536228382786416,winter
New York,2010-02-20,-0.08110840643274259,winter
New York,2010-02-21,12.205989668802104,winter
New York,2010-02-22,-3.779570874328284,winter
New York,2010-02-23,-3.2017232951361745,winter
New York,2010-02-24,7.180425297071761,winter
New York,2010-02-25,2.7716357252675516,winter
New York,2010-02-26,-13.755800338467889,winter
New York,2010-02-27,4.929179343697187,winter
New York,2010-02-28,12.107157399921135,winter
New York,2010-03-01,6.152944736104499,spring
New York,2010-03-02,6.147257104227607,spring
New York,2010-03-03,12.960996313568627,spring
